Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
24,4,OMP,0.0005537999999999999,1.12e-05,0.00036114120621162876,0.017857142857142856,0.0015047550258817865,0.0744047619047619
25,4,OMP,0.0005001999999999999,1.3800000000000002e-05,0.0003998400639744103,0.014492753623188403,0.0015993602558976414,0.05797101449275361
26,4,OMP,0.0006393999999999999,1.24e-05,0.00031279324366593683,0.016129032258064516,0.0012030509371766802,0.062034739454094295
27,4,OMP,0.000516,1.44e-05,0.0003875968992248062,0.013888888888888888,0.001435544071202986,0.05144032921810699
28,4,OMP,0.0005857999999999999,1.5399999999999998e-05,0.0003414134516899966,0.012987012987012988,0.001219333756035702,0.0463821892393321
29,4,OMP,0.0005482,1.3600000000000004e-05,0.00036483035388544326,0.014705882352941171,0.0012580357030532528,0.050709939148073
30,4,OMP,0.0006590000000000001,1.3999999999999996e-05,0.0003034901365705614,0.014285714285714289,0.001011633788568538,0.04761904761904763
31,4,OMP,0.0005968,1.34e-05,0.0003351206434316354,0.014925373134328356,0.0010810343336504367,0.04814636494944631
32,4,OMP,0.0008666,1.34e-05,0.00023078698361412415,0.014925373134328356,0.000721209323794138,0.046641791044776115
33,4,OMP,0.0006617999999999999,1.3999999999999996e-05,0.0003022061045633122,0.014285714285714289,0.0009157760744342794,0.0432900432900433
34,4,OMP,0.0007138,1.4800000000000002e-05,0.00028019052956010083,0.01351351351351351,0.000824089792823826,0.03974562798092209
35,4,OMP,0.0008636000000000001,1.76e-05,0.00023158869847151456,0.011363636363636362,0.0006616819956328987,0.032467532467532464
36,4,OMP,0.0008173999999999999,2.26e-05,0.00024467824810374357,0.008849557522123894,0.0006796618002881766,0.024582104228121928
37,4,OMP,0.0006872000000000001,1.58e-05,0.00029103608847497084,0.012658227848101264,0.0007865840229053265,0.034211426616489904
38,4,OMP,0.0007032,1.7e-05,0.0002844141069397042,0.011764705882352941,0.0007484581761571164,0.030959752321981428
39,4,OMP,0.0008766,1.56e-05,0.00022815423226100844,0.01282051282051282,0.0005850108519513037,0.03287310979618672
40,4,OMP,0.00091,1.6e-05,0.00021978021978021978,0.0125,0.0005494505494505495,0.03125
41,4,OMP,0.0010022,1.62e-05,0.00019956096587507482,0.012345679012345678,0.0004867340631099386,0.030111412225233364
42,4,OMP,0.0009142,2.02e-05,0.00021877050973528766,0.009900990099009901,0.0005208821660363992,0.023573785950023574
43,4,OMP,0.0008472000000000001,1.98e-05,0.00023607176581680827,0.0101010101010101,0.0005490041065507169,0.02349072116513977
44,4,OMP,0.0007482,1.64e-05,0.0002673082063619353,0.012195121951219513,0.0006075186508225802,0.02771618625277162
45,4,OMP,0.0008262000000000002,2.12e-05,0.000242072137496974,0.009433962264150943,0.0005379380833266089,0.020964360587002094
46,4,OMP,0.0007953999999999999,1.9e-05,0.00025144581342720644,0.010526315789473684,0.0005466213335374053,0.02288329519450801
47,4,OMP,0.000946,1.92e-05,0.00021141649048625792,0.010416666666666666,0.0004498223201835275,0.022163120567375887
48,4,OMP,0.000998,1.76e-05,0.0002004008016032064,0.011363636363636362,0.00041750167000668005,0.02367424242424242
49,4,OMP,0.0010206,1.76e-05,0.0001959631589261219,0.011363636363636362,0.00039992481413494264,0.023191094619666047
50,4,OMP,0.0009336,1.7399999999999993e-05,0.00021422450728363323,0.011494252873563223,0.00042844901456726646,0.022988505747126447
