Processes,Dim,CheckSym,MatTranspose,Version
1,128,0.000065,0.000066,MPI DT
1,128,0.000062,0.000071,MPI DT
2,256,0.001282,0.000443,MPI DT
2,256,0.000396,0.000382,MPI DT
2,256,0.000468,0.000443,MPI DT
2,256,0.000394,0.000376,MPI DT
2,256,0.000423,0.000377,MPI DT
4,512,0.001766,0.001994,MPI DT
4,512,0.001533,0.002098,MPI DT
4,512,0.001741,0.001941,MPI DT
4,512,0.001504,0.001883,MPI DT
4,512,0.001572,0.001920,MPI DT
8,1024,0.007225,0.008556,MPI DT
8,1024,0.006672,0.007701,MPI DT
8,1024,0.005944,0.008013,MPI DT
8,1024,0.006541,0.008283,MPI DT
8,1024,0.005793,0.007695,MPI DT
16,2048,0.034903,0.031143,MPI DT
16,2048,0.032572,0.031654,MPI DT
16,2048,0.029897,0.030581,MPI DT
16,2048,0.031951,0.030926,MPI DT
16,2048,0.032748,0.027699,MPI DT
32,4096,0.136760,0.119465,MPI DT
32,4096,0.146824,0.126620,MPI DT
32,4096,0.138820,0.123122,MPI DT
32,4096,0.146370,0.139420,MPI DT
32,4096,0.136432,0.119433,MPI DT
1,256,0.000293,0.000301,OMP
1,256,0.000294,0.000302,OMP
1,256,0.000282,0.000265,OMP
1,256,0.000281,0.000285,OMP
1,256,0.000258,0.000245,OMP
2,512,0.000848,0.001568,OMP
2,512,0.001218,0.001583,OMP
2,512,0.000815,0.001562,OMP
2,512,0.001044,0.001522,OMP
2,512,0.000784,0.001581,OMP
4,1024,0.001949,0.005776,OMP
4,1024,0.002088,0.005558,OMP
4,1024,0.001966,0.005456,OMP
4,1024,0.001782,0.005350,OMP
4,1024,0.001824,0.005422,OMP
8,2048,0.004190,0.013443,OMP
8,2048,0.004250,0.012961,OMP
8,2048,0.004154,0.013408,OMP
8,2048,0.003918,0.012637,OMP
8,2048,0.003980,0.012966,OMP
16,4096,0.009019,0.035806,OMP
16,4096,0.010440,0.037082,OMP
16,4096,0.009641,0.037368,OMP
16,4096,0.010585,0.035615,OMP
16,4096,0.008866,0.036493,OMP
1,256,0.000619,0.000463,MPI DT
1,256,0.000358,0.000467,MPI DT
1,256,0.000306,0.000425,MPI DT
1,256,0.000622,0.000400,MPI DT
1,256,0.000293,0.000397,MPI DT
2,512,0.001486,0.001994,MPI DT
2,512,0.001246,0.002362,MPI DT
2,512,0.001189,0.002055,MPI DT
2,512,0.001181,0.001938,MPI DT
2,512,0.001188,0.001985,MPI DT
4,1024,0.007055,0.008057,MPI DT
4,1024,0.006192,0.007921,MPI DT
4,1024,0.006295,0.007802,MPI DT
4,1024,0.005646,0.007849,MPI DT
4,1024,0.005090,0.007565,MPI DT
8,2048,0.031874,0.036684,MPI DT
8,2048,0.028411,0.036186,MPI DT
8,2048,0.028868,0.030498,MPI DT
8,2048,0.028474,0.029596,MPI DT
8,2048,0.029367,0.030930,MPI DT
16,4096,0.138762,0.112899,MPI DT
16,4096,0.161147,0.125623,MPI DT
16,4096,0.143966,0.121328,MPI DT
16,4096,0.149828,0.116866,MPI DT
16,4096,0.146235,0.117737,MPI DT
1,512,0.001109,0.001321,OMP
1,512,0.001031,0.001215,OMP
1,512,0.001015,0.001027,OMP
1,512,0.001018,0.001013,OMP
1,512,0.001017,0.001005,OMP
2,1024,0.002884,0.008289,OMP
2,1024,0.002927,0.008270,OMP
2,1024,0.002602,0.007680,OMP
2,1024,0.002903,0.007863,OMP
2,1024,0.002778,0.007624,OMP
4,2048,0.006806,0.022146,OMP
4,2048,0.007082,0.022235,OMP
4,2048,0.006702,0.021688,OMP
4,2048,0.006655,0.021681,OMP
4,2048,0.006575,0.021965,OMP
8,4096,0.015036,0.053698,OMP
8,4096,0.017038,0.055947,OMP
8,4096,0.015986,0.056017,OMP
8,4096,0.016917,0.055858,OMP
8,4096,0.016136,0.056058,OMP
1,512,0.001565,0.002627,MPI DT
1,512,0.001179,0.003176,MPI DT
1,512,0.001153,0.002683,MPI DT
1,512,0.001552,0.002975,MPI DT
1,512,0.001227,0.003182,MPI DT
2,1024,0.005503,0.010756,MPI DT
2,1024,0.004530,0.010768,MPI DT
2,1024,0.004455,0.010559,MPI DT
2,1024,0.004476,0.012244,MPI DT
2,1024,0.004450,0.010337,MPI DT
4,2048,0.026898,0.036603,MPI DT
4,2048,0.026556,0.033595,MPI DT
4,2048,0.028270,0.034776,MPI DT
4,2048,0.023479,0.035488,MPI DT
4,2048,0.021802,0.033268,MPI DT
8,4096,0.156236,0.124768,MPI DT
8,4096,0.176698,0.142934,MPI DT
8,4096,0.148137,0.121200,MPI DT
8,4096,0.145125,0.138409,MPI DT
8,4096,0.182027,0.130090,MPI DT
1,1024,0.004205,0.005247,OMP
1,1024,0.004171,0.005318,OMP
1,1024,0.004107,0.004674,OMP
1,1024,0.004091,0.004601,OMP
1,1024,0.004100,0.004603,OMP
2,2048,0.011574,0.032112,OMP
2,2048,0.011470,0.032872,OMP
2,2048,0.010511,0.030542,OMP
2,2048,0.010567,0.031482,OMP
2,2048,0.010461,0.030601,OMP
4,4096,0.028680,0.092267,OMP
4,4096,0.028844,0.091276,OMP
4,4096,0.029201,0.091657,OMP
4,4096,0.028806,0.091156,OMP
4,4096,0.028924,0.093554,OMP
1,1024,0.005326,0.019421,MPI DT
1,1024,0.005280,0.018821,MPI DT
1,1024,0.005247,0.018893,MPI DT
1,1024,0.005216,0.019101,MPI DT
1,1024,0.005254,0.018638,MPI DT
2,2048,0.023042,0.046663,MPI DT
2,2048,0.022900,0.044062,MPI DT
2,2048,0.022678,0.044120,MPI DT
2,2048,0.022437,0.043929,MPI DT
2,2048,0.022532,0.044858,MPI DT
4,4096,0.230656,0.146165,MPI DT
4,4096,0.175110,0.144692,MPI DT
4,4096,0.179911,0.179656,MPI DT
4,4096,0.224771,0.153525,MPI DT
4,4096,0.162228,0.168573,MPI DT
1,2048,0.018094,0.025832,OMP
1,2048,0.017474,0.027018,OMP
1,2048,0.017183,0.023990,OMP
1,2048,0.017189,0.024077,OMP
1,2048,0.017194,0.024054,OMP
2,4096,0.052960,0.134088,OMP
2,4096,0.052842,0.134957,OMP
2,4096,0.050080,0.136324,OMP
2,4096,0.049854,0.136220,OMP
2,4096,0.049933,0.134392,OMP
1,2048,0.029566,0.074663,MPI DT
1,2048,0.027541,0.072521,MPI DT
1,2048,0.030496,0.073931,MPI DT
1,2048,0.027467,0.072496,MPI DT
1,2048,0.027243,0.072973,MPI DT
2,4096,0.171102,0.204677,MPI DT
2,4096,0.175048,0.201580,MPI DT
2,4096,0.174984,0.216197,MPI DT
2,4096,0.343885,0.294662,MPI DT
2,4096,0.312650,0.300266,MPI DT
1,4096,0.090683,0.126131,OMP
1,4096,0.091118,0.125494,OMP
1,4096,0.091011,0.125871,OMP
1,4096,0.090716,0.125526,OMP
1,4096,0.090777,0.125444,OMP
1,4096,0.268114,0.336527,MPI DT
1,4096,0.269322,0.360405,MPI DT
1,4096,0.267831,0.358391,MPI DT
1,4096,0.266082,0.364431,MPI DT
1,4096,0.261994,0.361982,MPI DT
