Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
69,8,OMP,0.0013432,3.82E-05,5.96E-04,5.24E-03,8.63E-04,7.59E-03,
70,8,OMP,0.0013356,4.54E-05,5.99E-04,4.41E-03,8.56E-04,6.29E-03,
71,8,OMP,0.001427,4.86E-05,5.61E-04,4.12E-03,7.90E-04,5.80E-03,
72,8,OMP,0.0015402,3.78E-05,5.19E-04,5.29E-03,7.21E-04,7.35E-03,
73,8,OMP,0.0015604,4.08E-05,5.13E-04,4.90E-03,7.02E-04,6.72E-03,
74,8,OMP,0.0016016,4.38E-05,5.00E-04,4.57E-03,6.75E-04,6.17E-03,
75,8,OMP,0.0013816,3.14E-05,5.79E-04,6.37E-03,7.72E-04,8.49E-03,
76,8,OMP,0.0015632,4.32E-05,5.12E-04,4.63E-03,6.73E-04,6.09E-03,
77,8,OMP,0.0014908,4.34E-05,5.37E-04,4.61E-03,6.97E-04,5.98E-03,
78,8,OMP,0.0014804,5.90E-05,5.40E-04,3.39E-03,6.93E-04,4.35E-03,
79,8,OMP,0.0014654,4.74E-05,5.46E-04,4.22E-03,6.91E-04,5.34E-03,
80,8,OMP,0.00165,4.24E-05,4.85E-04,4.72E-03,6.06E-04,5.90E-03,
81,8,OMP,0.0015052,4.34E-05,5.31E-04,4.61E-03,6.56E-04,5.69E-03,
82,8,OMP,0.0016596,5.30E-05,4.82E-04,3.77E-03,5.88E-04,4.60E-03,
83,8,OMP,0.0016644,4.78E-05,4.81E-04,4.18E-03,5.79E-04,5.04E-03,
84,8,OMP,0.0016264,5.20E-05,4.92E-04,3.85E-03,5.86E-04,4.58E-03,
85,8,OMP,0.001797,5.08E-05,4.45E-04,3.94E-03,5.24E-04,4.63E-03,
86,8,OMP,0.002067,5.86E-05,3.87E-04,3.41E-03,4.50E-04,3.97E-03,
87,8,OMP,0.0016908,4.10E-05,4.73E-04,4.88E-03,5.44E-04,5.61E-03,
88,8,OMP,0.004087,0.0009624,1.96E-04,2.08E-04,2.22E-04,2.36E-04,
89,8,OMP,0.0038706,0.0010014,2.07E-04,2.00E-04,2.32E-04,2.24E-04,
90,8,OMP,0.0041832,0.0019352,1.91E-04,1.03E-04,2.12E-04,1.15E-04,
91,8,OMP,0.0059956,5.48E-05,1.33E-04,3.65E-03,1.47E-04,4.01E-03,
92,8,OMP,0.0077052,0.0014474,1.04E-04,1.38E-04,1.13E-04,1.50E-04,
93,8,OMP,0.0086394,0.0038278,9.26E-05,5.22E-05,9.96E-05,5.62E-05,
94,8,OMP,0.0098862,0.003865,8.09E-05,5.17E-05,8.61E-05,5.50E-05,
95,8,OMP,0.0082608,0.0038416,9.68E-05,5.21E-05,1.02E-04,5.48E-05,
96,8,OMP,0.0101126,0.0057446,7.91E-05,3.48E-05,8.24E-05,3.63E-05,
1,16,SEQ,1.60E-06,1.00E-06,0,0,0,0,
1,16,OMP,2.16E-05,4.20E-06,7.41E-02,2.38E-01,7.41E+00,2.38E+01,
2,16,OMP,0.0001082,8.00E-06,1.48E-02,1.25E-01,7.39E-01,6.25E+00,
3,16,OMP,9.04E-05,8.00E-06,1.77E-02,1.25E-01,5.90E-01,4.17E+00,
4,16,OMP,0.0001418,1.24E-05,1.13E-02,8.06E-02,2.82E-01,2.02E+00,
5,16,OMP,0.0001512,1.08E-05,1.06E-02,9.26E-02,2.12E-01,1.85E+00,
6,16,OMP,0.0001644,1.02E-05,9.73E-03,9.80E-02,1.62E-01,1.63E+00,
7,16,OMP,0.000214,1.18E-05,7.48E-03,8.47E-02,1.07E-01,1.21E+00,
8,16,OMP,0.0002052,1.32E-05,7.80E-03,7.58E-02,9.75E-02,9.47E-01,
