Threads/Proc,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
18,32,OMP,0.0005696,2.5e-05
19,32,OMP,0.0005430000000000001,2.9e-05
20,32,OMP,0.0005497999999999999,2.68e-05
21,32,OMP,0.0004744,3.26e-05
22,32,OMP,0.0007148,2.94e-05
23,32,OMP,0.0008473999999999999,2.82e-05
24,32,OMP,0.0005947999999999999,2.9599999999999998e-05
25,32,OMP,0.0005551999999999999,2.82e-05
26,32,OMP,0.0007328,2.7600000000000003e-05
27,32,OMP,0.0006968,2.86e-05
28,32,OMP,0.000801,2.8199999999999998e-05
29,32,OMP,0.000755,2.68e-05
30,32,OMP,0.0008198000000000001,2.7800000000000005e-05
31,32,OMP,0.0008613999999999998,3.04e-05
32,32,OMP,0.0008680000000000001,2.94e-05
33,32,OMP,0.0008324,2.9400000000000003e-05
34,32,OMP,0.0008280000000000001,3.2200000000000003e-05
35,32,OMP,0.0007719999999999999,3.44e-05
36,32,OMP,0.0007440000000000001,2.9199999999999998e-05
37,32,OMP,0.0008038,3.52e-05
38,32,OMP,0.000776,3.76e-05
39,32,OMP,0.000946,3.36e-05
40,32,OMP,0.0008964000000000001,3.04e-05
41,32,OMP,0.0008392,3.0200000000000002e-05
42,32,OMP,0.0009364000000000001,3.66e-05
43,32,OMP,0.0009282,3.7199999999999996e-05
44,32,OMP,0.0009417999999999999,3.3199999999999994e-05
45,32,OMP,0.0011757999999999998,3.34e-05
46,32,OMP,0.0010792,3.2e-05
47,32,OMP,0.0010742,3.34e-05
48,32,OMP,0.0009446,3.6400000000000004e-05
49,32,OMP,0.0011872,3.3e-05
50,32,OMP,0.0009672,3.4e-05
51,32,OMP,0.0010574,3.58e-05
52,32,OMP,0.0010554,3.56e-05
53,32,OMP,0.0011732,3.7e-05
54,32,OMP,0.0010932000000000001,3.4200000000000005e-05
55,32,OMP,0.0010630000000000001,3.72e-05
56,32,OMP,0.0011458,3.64e-05
57,32,OMP,0.0012490000000000001,3.540000000000001e-05
58,32,OMP,0.0012216000000000002,4.2000000000000004e-05
59,32,OMP,0.0012074000000000002,3.66e-05
60,32,OMP,0.0011866,3.9e-05
61,32,OMP,0.0010858,3.92e-05
62,32,OMP,0.0012148,3.6400000000000004e-05
63,32,OMP,0.0011742,4.22e-05
64,32,OMP,0.0013291999999999998,3.680000000000001e-05
65,32,OMP,0.001294,3.88e-05
66,32,OMP,0.0012636,3.78e-05
67,32,OMP,0.0013495999999999998,4.32e-05
68,32,OMP,0.0014491999999999999,4.66e-05
69,32,OMP,0.0012407999999999998,3.96e-05
70,32,OMP,0.0015048000000000001,3.7199999999999996e-05
71,32,OMP,0.0013200000000000002,4.4999999999999996e-05
72,32,OMP,0.0014583999999999999,4.2000000000000004e-05
73,32,OMP,0.0014486000000000002,4.4999999999999996e-05
74,32,OMP,0.0015596,3.5600000000000005e-05
75,32,OMP,0.0014464,4.28e-05
76,32,OMP,0.0014994000000000001,4.36e-05
77,32,OMP,0.0016562,4.24e-05
78,32,OMP,0.0016167999999999998,4.3e-05
79,32,OMP,0.0016858,5.26e-05
80,32,OMP,0.0017749999999999999,4.2600000000000005e-05
81,32,OMP,0.0016988000000000003,4.3200000000000007e-05
82,32,OMP,0.0017474000000000003,4.8200000000000006e-05
83,32,OMP,0.0017588,4.7999999999999994e-05
84,32,OMP,0.0018172000000000002,4.64e-05
85,32,OMP,0.0020666,4.52e-05
86,32,OMP,0.0026533999999999998,5.1599999999999994e-05
87,32,OMP,0.0018599999999999999,4.3799999999999994e-05
88,32,OMP,0.0036228000000000002,0.0019378
89,32,OMP,0.0018486000000000002,5.12e-05
90,32,OMP,0.0030548000000000007,4.6e-05
91,32,OMP,0.002477,4.52e-05
92,32,OMP,0.0067802,6.26e-05
93,32,OMP,0.0065566,0.0028956000000000003
94,32,OMP,0.0065582,0.003659999999999999
95,32,OMP,0.010009,0.009453
96,32,OMP,0.0102194,0.008534
1,32,MPI DT,2.3599999999999998e-05,2.2e-06
2,32,MPI DT,0.0003866000000000001,3.7199999999999996e-05
3,32,MPI DT,0.00041460000000000005,3.9000000000000006e-05
4,32,MPI DT,0.0003904,4.32e-05
5,32,MPI DT,0.0003616,4.4200000000000004e-05
6,32,MPI DT,0.000146,4.26e-05
7,32,MPI DT,0.0005223999999999999,5.08e-05
8,32,MPI DT,0.00021700000000000002,4.76e-05
9,32,MPI DT,0.0004874,5.9199999999999996e-05
10,32,MPI DT,0.0004112,5.4199999999999996e-05
11,32,MPI DT,0.00032900000000000003,6.440000000000001e-05
12,32,MPI DT,0.0006219999999999999,0.0001344
13,32,MPI DT,0.0003592,0.00013680000000000002
14,32,MPI DT,0.0004776,0.0002104
15,32,MPI DT,0.0005128000000000001,7.9e-05
16,32,MPI DT,0.00045000000000000004,0.00015460000000000002
17,32,MPI DT,0.0001938,0.0001494
18,32,MPI DT,0.0003678,0.0001646
19,32,MPI DT,0.00039559999999999997,0.0003258
20,32,MPI DT,0.0006265999999999999,0.000404
21,32,MPI DT,0.0006994,0.0003528
22,32,MPI DT,0.00033840000000000004,0.0004158
23,32,MPI DT,0.0002718,0.0005164
24,32,MPI DT,0.00031,0.00035959999999999996
25,32,MPI DT,0.0004712,0.0002862
26,32,MPI DT,0.00039959999999999996,0.000566
27,32,MPI DT,0.0005926,0.0005422
28,32,MPI DT,0.0002756,0.0004772
29,32,MPI DT,0.00033620000000000004,0.0005704
30,32,MPI DT,0.0002658,0.0005654
31,32,MPI DT,0.00037079999999999996,0.00044980000000000004
32,32,MPI DT,0.00033,0.0005696
33,32,MPI DT,0.0006598,0.0005369999999999999
34,32,MPI DT,0.0004272,0.0004874
35,32,MPI DT,0.000355,0.0005512000000000001
36,32,MPI DT,0.0003022,0.0005646
37,32,MPI DT,0.0002664,0.0005682
38,32,MPI DT,0.0003828,0.0005964
39,32,MPI DT,0.00027220000000000006,0.0006276000000000001
40,32,MPI DT,0.0006877999999999999,0.0005652000000000001
41,32,MPI DT,0.00043359999999999997,0.0005884
42,32,MPI DT,0.00029560000000000003,0.0005888000000000001
43,32,MPI DT,0.0004744,0.0006008
44,32,MPI DT,0.0002634,0.0006206
45,32,MPI DT,0.00044419999999999996,0.0006078
46,32,MPI DT,0.0005958,0.000563
47,32,MPI DT,0.00043099999999999996,0.00041919999999999994
48,32,MPI DT,0.0003742,0.0006567999999999999
49,32,MPI DT,0.00043960000000000006,0.0006278
50,32,MPI DT,0.0005138,0.0005708
51,32,MPI DT,0.0006885999999999999,0.0006678
52,32,MPI DT,0.000518,0.0006393999999999999
53,32,MPI DT,0.0008484,0.0006412
54,32,MPI DT,0.0005912,0.0006748
55,32,MPI DT,0.000563,0.0007015999999999999
56,32,MPI DT,0.000665,0.0005614000000000001
57,32,MPI DT,0.0007778,0.0006417999999999999
58,32,MPI DT,0.001151,0.0006554
59,32,MPI DT,0.0011206,0.0007023999999999999
60,32,MPI DT,0.0005054,0.0006306
61,32,MPI DT,0.0007325999999999999,0.0006762
62,32,MPI DT,0.00108,0.0007012
63,32,MPI DT,0.0005851999999999999,0.0007865999999999999
64,32,MPI DT,0.0007601999999999999,0.0006058000000000001
65,32,MPI DT,0.000499,0.0007052000000000001
66,32,MPI DT,0.00048059999999999997,0.0009061999999999999
67,32,MPI DT,0.0007996000000000001,0.0013366
