Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
38,4,OMP,0.0010182000000000001,3.68e-05,0.0011785503830288742,0.010869565217391304,0.0031014483763917742,0.028604118993135013
39,4,OMP,0.001168,3.4399999999999996e-05,0.0010273972602739725,0.011627906976744188,0.0026343519494204425,0.029815146094215865
40,4,OMP,0.0011129999999999998,3.54e-05,0.001078167115902965,0.011299435028248588,0.0026954177897574125,0.02824858757062147
41,4,OMP,0.0010708000000000002,3.8e-05,0.001120657452372058,0.010526315789473684,0.002733310859444044,0.025673940949935817
42,4,OMP,0.0012017999999999998,4.4799999999999984e-05,0.000998502246630055,0.008928571428571432,0.0023773863015001313,0.02125850340136055
43,4,OMP,0.0008713999999999999,4.68e-05,0.001377094330961671,0.008547008547008546,0.0032025449557248164,0.01987676406281057
44,4,OMP,0.0008569999999999999,4.74e-05,0.001400233372228705,0.008438818565400843,0.0031823485732470564,0.019179133103183737
45,4,OMP,0.0012678,3.5e-05,0.000946521533364884,0.011428571428571429,0.0021033811852552977,0.025396825396825397
46,4,OMP,0.0011476,4.52e-05,0.0010456605088881143,0.008849557522123894,0.0022731750193219877,0.01923816852635629
47,4,OMP,0.0010846000000000002,4.98e-05,0.001106398672321593,0.008032128514056224,0.0023540397283438146,0.01708963513628984
48,4,OMP,0.00123,4.7799999999999996e-05,0.000975609756097561,0.008368200836820085,0.002032520325203252,0.017433751743375178
49,4,OMP,0.0010604000000000002,4.58e-05,0.0011316484345529987,0.008733624454148471,0.0023094866011285687,0.017823723375813207
50,4,OMP,0.0013208,2.9600000000000005e-05,0.0009085402786190187,0.01351351351351351,0.0018170805572380376,0.02702702702702702
51,4,OMP,0.0012672,4.6200000000000005e-05,0.0009469696969696969,0.008658008658008656,0.0018568033273915624,0.016976487564722857
52,4,OMP,0.0013900000000000002,4.16e-05,0.0008633093525179854,0.009615384615384614,0.0016602102933038184,0.018491124260355027
53,4,OMP,0.0013843999999999998,4.6399999999999996e-05,0.0008668015024559377,0.008620689655172414,0.0016354745329357314,0.01626545217957059
54,4,OMP,0.0011498,3.900000000000001e-05,0.0010436597669159853,0.010256410256410253,0.0019327032720666396,0.018993352326685652
55,4,OMP,0.0013961999999999998,5.92e-05,0.0008594757198109155,0.006756756756756756,0.001562683126928937,0.012285012285012284
56,4,OMP,0.0013716000000000002,4.14e-05,0.000874890638670166,0.00966183574879227,0.0015623047119110106,0.01725327812284334
57,4,OMP,0.0013788,3.2399999999999995e-05,0.0008703220191470844,0.01234567901234568,0.0015268807353457621,0.021659085986571368
58,4,OMP,0.0015229999999999998,4.16e-05,0.0007879185817465529,0.009615384615384614,0.0013584803133561258,0.016578249336870025
59,4,OMP,0.0015458000000000002,4.44e-05,0.0007762970630094448,0.009009009009009009,0.001315757733914313,0.015269506794930523
60,4,OMP,0.0016434000000000002,3.3e-05,0.0007301935012778385,0.01212121212121212,0.0012169891687963976,0.0202020202020202
61,4,OMP,0.0013702,4.2e-05,0.0008757845569989782,0.009523809523809525,0.001435712388522915,0.015612802498048403
62,4,OMP,0.0014124,3.66e-05,0.0008496176720475785,0.010928961748633878,0.0013703510839477072,0.0176273576590869
63,4,OMP,0.0016870000000000001,4.8e-05,0.0007113218731475993,0.008333333333333333,0.0011290823383295226,0.013227513227513229
