Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
83,4,OMP,0.0017477999999999999,5.6799999999999985e-05,0.00011442956860052638,0.0,0.0001378669501211161,0.0
84,4,OMP,0.00173,9.92e-05,0.00011560693641618497,0.0,0.00013762730525736306,0.0
85,4,OMP,0.0017031999999999998,4.48e-05,0.00011742602160638798,0.0,0.0001381482607133976,0.0
86,4,OMP,0.0021774,5.219999999999999e-05,9.18526683200147e-05,0.0,0.00010680542827908687,0.0
87,4,OMP,0.001843,5.64e-05,0.00010851871947911014,0.0,0.00012473416032081626,0.0
88,4,OMP,0.0020372000000000003,7.659999999999999e-05,9.817396426467699e-05,0.0,0.00011156132302804203,0.0
89,4,OMP,0.0028166,6.12e-05,7.100759781296599e-05,0.0,7.978381776737753e-05,0.0
90,4,OMP,0.004014200000000001,7.780000000000001e-05,4.9823127895969295e-05,0.0,5.535903099552144e-05,0.0
91,4,OMP,0.0029402,8.379999999999999e-05,6.802258349772124e-05,0.0,7.475009175573764e-05,0.0
92,4,OMP,0.0074534000000000015,0.0019682000000000002,2.6833391472348182e-05,0.0,2.9166729861248023e-05,0.0
93,4,OMP,0.0057616,0.0013406,3.4712579838933625e-05,0.0,3.732535466552002e-05,0.0
94,4,OMP,0.009194999999999998,0.0057642,2.1750951604132685e-05,0.0,2.3139310217162434e-05,0.0
95,4,OMP,0.0094552,0.0067288,2.115238175818597e-05,0.0,2.2265665008616812e-05,0.0
96,4,OMP,0.0105102,0.008641200000000002,1.902913360354703e-05,0.0,1.982201417036149e-05,0.0
1,8,SEQ,8e-07,2e-07,,,,
1,8,OMP,2.5e-05,5e-06,0.031999999999999994,0.039999999999999994,3.1999999999999993,3.9999999999999996
2,8,OMP,9.88e-05,9.4e-06,0.008097165991902834,0.02127659574468085,0.4048582995951417,1.0638297872340425
3,8,OMP,0.00012400000000000006,1.1599999999999999e-05,0.006451612903225803,0.017241379310344827,0.21505376344086008,0.5747126436781609
4,8,OMP,0.00013000000000000002,1.1599999999999999e-05,0.006153846153846153,0.017241379310344827,0.15384615384615383,0.43103448275862066
5,8,OMP,0.0001564,9.8e-06,0.005115089514066496,0.020408163265306124,0.10230179028132991,0.40816326530612246
6,8,OMP,0.0001824,1.1599999999999996e-05,0.0043859649122807015,0.017241379310344834,0.07309941520467836,0.2873563218390806
7,8,OMP,0.0002346,2.12e-05,0.0034100596760443303,0.009433962264150943,0.04871513822920472,0.1347708894878706
8,8,OMP,0.00020860000000000006,1.56e-05,0.00383509108341323,0.01282051282051282,0.04793863854266538,0.16025641025641024
9,8,OMP,0.00024180000000000002,1.6e-05,0.003308519437551695,0.0125,0.036761327083907724,0.1388888888888889
10,8,OMP,0.0002656,1.32e-05,0.003012048192771084,0.01515151515151515,0.03012048192771084,0.1515151515151515
11,8,OMP,0.0002222,1.32e-05,0.0036003600360036,0.01515151515151515,0.03273054578185091,0.1377410468319559
12,8,OMP,0.000283,1.58e-05,0.0028268551236749115,0.012658227848101264,0.023557126030624265,0.10548523206751054
13,8,OMP,0.0004774,2e-05,0.0016757436112274822,0.009999999999999998,0.012890335470980632,0.07692307692307691
14,8,OMP,0.0003372000000000001,2.7000000000000002e-05,0.002372479240806642,0.007407407407407407,0.01694628029147601,0.0529100529100529
