Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
32,8,OMP,0.0005566,2.02E-05,1.08E-03,9.90E-03,3.37E-03,3.09E-02
33,8,OMP,0.000582,2.18E-05,1.03E-03,9.17E-03,3.12E-03,2.78E-02
34,8,OMP,0.0006068,2.10E-05,9.89E-04,9.52E-03,2.91E-03,2.80E-02
35,8,OMP,0.000667,2.20E-05,9.00E-04,9.09E-03,2.57E-03,2.60E-02
36,8,OMP,0.0006776,2.72E-05,8.85E-04,7.35E-03,2.46E-03,2.04E-02
37,8,OMP,0.0007808,2.36E-05,7.68E-04,8.47E-03,2.08E-03,2.29E-02
38,8,OMP,0.000669,2.40E-05,8.97E-04,8.33E-03,2.36E-03,2.19E-02
39,8,OMP,0.0007904,2.48E-05,7.59E-04,8.06E-03,1.95E-03,2.07E-02
40,8,OMP,0.0007284,2.42E-05,8.24E-04,8.26E-03,2.06E-03,2.07E-02
41,8,OMP,0.0007494,2.74E-05,8.01E-04,7.30E-03,1.95E-03,1.78E-02
42,8,OMP,0.0007736,2.56E-05,7.76E-04,7.81E-03,1.85E-03,1.86E-02
43,8,OMP,0.0007506,2.88E-05,7.99E-04,6.94E-03,1.86E-03,1.61E-02
44,8,OMP,0.0007932,2.56E-05,7.56E-04,7.81E-03,1.72E-03,1.78E-02
45,8,OMP,0.0008266,2.84E-05,7.26E-04,7.04E-03,1.61E-03,1.56E-02
46,8,OMP,0.0008156,2.80E-05,7.36E-04,7.14E-03,1.60E-03,1.55E-02
47,8,OMP,0.0008112,2.74E-05,7.40E-04,7.30E-03,1.57E-03,1.55E-02
48,8,OMP,0.0008324,2.72E-05,7.21E-04,7.35E-03,1.50E-03,1.53E-02
49,8,OMP,0.0008278,2.92E-05,7.25E-04,6.85E-03,1.48E-03,1.40E-02
50,8,OMP,0.000843,2.70E-05,7.12E-04,7.41E-03,1.42E-03,1.48E-02
51,8,OMP,0.0008748,3.04E-05,6.86E-04,6.58E-03,1.34E-03,1.29E-02
52,8,OMP,0.0011064,3.66E-05,5.42E-04,5.46E-03,1.04E-03,1.05E-02
53,8,OMP,0.0009294,2.86E-05,6.46E-04,6.99E-03,1.22E-03,1.32E-02
54,8,OMP,0.001079,2.98E-05,5.56E-04,6.71E-03,1.03E-03,1.24E-02
55,8,OMP,0.0010006,3.20E-05,6.00E-04,6.25E-03,1.09E-03,1.14E-02
56,8,OMP,0.001005,3.22E-05,5.97E-04,6.21E-03,1.07E-03,1.11E-02
57,8,OMP,0.0010928,3.22E-05,5.49E-04,6.21E-03,9.63E-04,1.09E-02
58,8,OMP,0.0012192,3.18E-05,4.92E-04,6.29E-03,8.48E-04,1.08E-02
59,8,OMP,0.001156,3.30E-05,5.19E-04,6.06E-03,8.80E-04,1.03E-02
60,8,OMP,0.001102,3.90E-05,5.44E-04,5.13E-03,9.07E-04,8.55E-03
61,8,OMP,0.0011972,3.34E-05,5.01E-04,5.99E-03,8.22E-04,9.82E-03
62,8,OMP,0.0011952,3.40E-05,5.02E-04,5.88E-03,8.10E-04,9.49E-03
63,8,OMP,0.0012072,3.32E-05,4.97E-04,6.02E-03,7.89E-04,9.56E-03
64,8,OMP,0.0012384,3.82E-05,4.84E-04,5.24E-03,7.57E-04,8.18E-03
