Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
1,32,3e-06,3e-06,SEQ,6.4e-06,4.2e-06
1,32,3e-06,1e-06,IMP,2.6e-06,1.4e-06
1,32,1.9e-05,5e-06,OMP,2.4e-05,7e-06
2,32,7.2e-05,2.1e-05,OMP,9.64e-05,1.48e-05
3,32,0.000108,1.4e-05,OMP,9.74e-05,1.2e-05
4,32,0.000209,2.4e-05,OMP,0.0001544,1.7e-05
5,32,0.00011,1e-05,OMP,0.000152,1.36e-05
6,32,0.000175,1.2e-05,OMP,0.0001516,1.26e-05
7,32,0.000143,1.3e-05,OMP,0.000152,1.6e-05
8,32,0.000166,1.1e-05,OMP,0.0001656,1.24e-05
9,32,0.00023,2.1e-05,OMP,0.0002378,2.16e-05
10,32,0.000242,1.1e-05,OMP,0.000344,2.2e-05
11,32,0.000258,1.4e-05,OMP,0.0002308,1.4e-05
12,32,0.000253,1.2e-05,OMP,0.0004376,2.4e-05
13,32,0.000557,1.3e-05,OMP,0.0004436,1.94e-05
14,32,0.000336,2.4e-05,OMP,0.000414,1.78e-05
15,32,0.000622,2.1e-05,OMP,0.0005038,1.7e-05
16,32,0.000289,2.3e-05,OMP,0.000368,1.74e-05
17,32,0.000437,1.9e-05,OMP,0.0004894,2.2e-05
18,32,0.000635,2.1e-05,OMP,0.0005924,1.78e-05
19,32,0.000409,1.6e-05,OMP,0.0004584,1.96e-05
20,32,0.00041,2.2e-05,OMP,0.000612,2.12e-05
21,32,0.000704,1.3e-05,OMP,0.000525,1.52e-05
22,32,0.000465,2e-05,OMP,0.0005016,2.78e-05
23,32,0.000388,2.8e-05,OMP,0.0004112,2.14e-05
24,32,0.000419,2.7e-05,OMP,0.0004454,2.48e-05
25,32,0.000446,1.7e-05,OMP,0.0004366,2.1e-05
26,32,0.000501,1.7e-05,OMP,0.0005018,2.14e-05
27,32,0.000479,2.3e-05,OMP,0.0005984,2.06e-05
28,32,0.000541,2.8e-05,OMP,0.0006124,2.52e-05
29,32,0.000567,2.8e-05,OMP,0.0005824,2.32e-05
30,32,0.000595,2e-05,OMP,0.0005536,2.16e-05
31,32,0.000862,3.9e-05,OMP,0.000667,2.76e-05
32,32,0.000564,2.6e-05,OMP,0.0005552,2.94e-05
33,32,0.00062,2.4e-05,OMP,0.000576,2.16e-05
34,32,0.000877,2e-05,OMP,0.0006562,2.64e-05
35,32,0.000656,6.2e-05,OMP,0.0006862,3.24e-05
36,32,0.000916,2.5e-05,OMP,0.0006794,3.3e-05
37,32,0.000647,2.7e-05,OMP,0.0006298,2.8e-05
38,32,0.000611,4.3e-05,OMP,0.0006452,3.36e-05
39,32,0.001305,1.8e-05,OMP,0.0008438,2.58e-05
40,32,0.000757,3.2e-05,OMP,0.0009168,2.64e-05
41,32,0.001002,3.7e-05,OMP,0.0009458,3.74e-05
42,32,0.001055,3.3e-05,OMP,0.0008586,2.88e-05
43,32,0.000784,4e-05,OMP,0.0008916,3.42e-05
44,32,0.001368,2.5e-05,OMP,0.0009958,2.78e-05
45,32,0.000778,3.6e-05,OMP,0.000992,2.82e-05
46,32,0.000824,2.6e-05,OMP,0.0009446,5.2e-05
47,32,0.000824,2.8e-05,OMP,0.0009592,3.56e-05
48,32,0.000893,2.9e-05,OMP,0.0008658,3.04e-05
49,32,0.001421,2.9e-05,OMP,0.0010954,3.26e-05
50,32,0.000939,0.000108,OMP,0.0011138,5e-05
51,32,0.001278,4.6e-05,OMP,0.0009916,3.48e-05
52,32,0.000898,3.4e-05,OMP,0.0009122,3.28e-05
53,32,0.001001,4.7e-05,OMP,0.0011938,4.04e-05
54,32,0.001624,2.6e-05,OMP,0.001251,3.4e-05
55,32,0.000954,3e-05,OMP,0.0010214,3.92e-05
56,32,0.001046,3.7e-05,OMP,0.0010038,3.28e-05
57,32,0.001051,4.3e-05,OMP,0.0010294,5.02e-05
58,32,0.001047,4e-05,OMP,0.0010166,2.82e-05
59,32,0.001036,3e-05,OMP,0.0010718,3.04e-05
60,32,0.001762,5e-05,OMP,0.001327,4.78e-05
61,32,0.001037,4.2e-05,OMP,0.001077,4.34e-05
62,32,0.001158,2.8e-05,OMP,0.0011712,3.18e-05
63,32,0.001195,6.4e-05,OMP,0.0011088,4.2e-05
64,32,0.00113,3.8e-05,OMP,0.0011296,4.96e-05
65,32,0.001526,3.6e-05,OMP,0.001243,3.2e-05
66,32,0.00115,6.2e-05,OMP,0.0011738,4.4e-05
67,32,0.001129,2.9e-05,OMP,0.0012652,3.7e-05
68,32,0.001224,3.5e-05,OMP,0.0012128,4.52e-05
69,32,0.001272,2.9e-05,OMP,0.0012424,4e-05
70,32,0.001931,4.1e-05,OMP,0.0016738,5.48e-05
71,32,0.001217,5e-05,OMP,0.0014016,7.36e-05
72,32,0.001428,3.6e-05,OMP,0.001435,4.04e-05
73,32,0.001239,4.2e-05,OMP,0.0015518,4.18e-05
74,32,0.001258,3.5e-05,OMP,0.0014868,4.36e-05
75,32,0.001344,4.3e-05,OMP,0.0014074,6.56e-05
