Processes,Dim,Version,RollingMean_MatTranspose,SpeedupMatTrans,EfficiencyMatTrans
11,64,MPI DT,0.00011599999999999999,0.23793103448275868,2.163009404388715
12,64,MPI DT,9.259999999999999e-05,0.2980561555075595,2.483801295896329
13,64,MPI DT,0.0001036,0.26640926640926643,2.0493020493020495
14,64,MPI DT,0.0001336,0.20658682634730544,1.4756201881950388
15,64,MPI DT,0.00010700000000000001,0.25794392523364484,1.7196261682242988
16,64,MPI DT,8.04e-05,0.3432835820895523,2.145522388059702
17,64,MPI DT,0.00012319999999999999,0.22402597402597407,1.3177998472116121
18,64,MPI DT,0.00024619999999999997,0.1121039805036556,0.6227998916869756
19,64,MPI DT,0.0001406,0.19630156472261737,1.0331661301190387
20,64,MPI DT,0.0002986,0.09243134628265239,0.4621567314132619
21,64,MPI DT,0.00013580000000000002,0.203240058910162,0.9678098043341047
22,64,MPI DT,0.0002298,0.12010443864229767,0.5459292665558985
23,64,MPI DT,0.00034100000000000005,0.08093841642228738,0.3519061583577712
24,64,MPI DT,0.0002444,0.11292962356792147,0.4705400981996728
25,64,MPI DT,0.000515,0.05359223300970874,0.21436893203883495
26,64,MPI DT,0.0004422000000000001,0.062415196743554946,0.24005844901367288
27,64,MPI DT,0.0004294,0.06427573358174198,0.23805827252497028
28,64,MPI DT,0.0001742,0.1584385763490241,0.5658520583893718
29,64,MPI DT,0.00044699999999999997,0.061744966442953034,0.21291367738949324
30,64,MPI DT,0.0002452,0.11256117455138664,0.3752039151712888
31,64,MPI DT,0.00035860000000000004,0.0769659788064696,0.24827735098861162
32,64,MPI DT,0.00030619999999999996,0.09013716525146966,0.2816786414108427
33,64,MPI DT,0.000545,0.05064220183486239,0.1534612176814012
34,64,MPI DT,0.0003952000000000001,0.06983805668016194,0.2054060490592998
35,64,MPI DT,0.0003198,0.08630393996247655,0.24658268560707586
36,64,MPI DT,0.0005064000000000001,0.054502369668246446,0.15139547130068456
37,64,MPI DT,0.0006238000000000001,0.0442449503045848,0.11958094676914811
38,64,MPI DT,0.0006720000000000001,0.04107142857142857,0.1080827067669173
39,64,MPI DT,0.0004346,0.06350667280257709,0.1628376225707105
40,64,MPI DT,0.0007918000000000003,0.034857287193735785,0.08714321798433947
41,64,MPI DT,0.0004364,0.06324472960586619,0.15425543806308828
42,64,MPI DT,0.0010527999999999998,0.026215805471124627,0.062418584455058636
43,64,MPI DT,0.0006201999999999999,0.04450177362141246,0.10349249679398247
44,64,MPI DT,0.0004958,0.05566760790641388,0.12651729069639517
45,64,MPI DT,0.0011154000000000001,0.02474448628294782,0.05498774729543961
46,64,MPI DT,0.0005518000000000001,0.05001812250815513,0.10873504893077202
47,64,MPI DT,0.000786,0.035114503816793895,0.07471171024849765
48,64,MPI DT,0.0006608,0.04176755447941889,0.08701573849878935
49,64,MPI DT,0.00108,0.025555555555555557,0.052154195011337875
50,64,MPI DT,0.0005327999999999999,0.051801801801801814,0.10360360360360363
