Processes,Dim,Version,RollingMean_MatTranspose
61,64,MPI DT,0.0013333999999999998
62,64,MPI DT,0.0008506
63,64,MPI DT,0.0007692
64,64,MPI DT,0.0006882000000000001
65,64,MPI DT,0.0007092
66,64,MPI DT,0.0008906000000000001
67,64,MPI DT,0.0009196000000000001
68,64,MPI DT,0.0007946
69,64,MPI DT,0.0008338
70,64,MPI DT,0.000608
71,64,MPI DT,0.0008312
72,64,MPI DT,0.0008988000000000002
73,64,MPI DT,0.0008818000000000001
74,64,MPI DT,0.0008985999999999999
75,64,MPI DT,0.0009089999999999999
76,64,MPI DT,0.0009662000000000001
77,64,MPI DT,0.000873
78,64,MPI DT,0.0010024
79,64,MPI DT,0.0010522
80,64,MPI DT,0.0009891999999999998
81,64,MPI DT,0.0060344000000000005
82,64,MPI DT,0.015969999999999998
83,64,MPI DT,0.0010384
84,64,MPI DT,0.0033488000000000003
85,64,MPI DT,0.011262399999999999
86,64,MPI DT,0.0011015999999999999
87,64,MPI DT,0.0011288000000000001
88,64,MPI DT,0.011874
89,64,MPI DT,0.0052036
90,64,MPI DT,0.0124706
91,64,MPI DT,0.008097799999999999
92,64,MPI DT,0.0114508
93,64,MPI DT,0.018940400000000003
94,64,MPI DT,0.0012622
95,64,MPI DT,0.016161400000000003
96,64,MPI DT,0.01652
1,128,SEQ,7.840000000000001e-05
1,128,MPI BDV,0.0002768
4,128,MPI BDV,0.00042560000000000005
16,128,MPI BDV,0.0007908
64,128,MPI BDV,0.0012234
1,128,MPI DT,5.62e-05
2,128,MPI DT,0.00011199999999999998
3,128,MPI DT,0.00012979999999999998
4,128,MPI DT,0.00012460000000000002
5,128,MPI DT,0.0001352
6,128,MPI DT,0.0001372
7,128,MPI DT,0.00013739999999999998
8,128,MPI DT,0.00013959999999999998
9,128,MPI DT,0.000167
10,128,MPI DT,0.0002774
11,128,MPI DT,0.00021020000000000001
12,128,MPI DT,0.0001836
13,128,MPI DT,0.00019059999999999997
14,128,MPI DT,0.0002444
15,128,MPI DT,0.0002222
16,128,MPI DT,0.0001712
17,128,MPI DT,0.00022259999999999996
18,128,MPI DT,0.00022659999999999998
19,128,MPI DT,0.00024239999999999998
20,128,MPI DT,0.0002626
21,128,MPI DT,0.00026999999999999995
22,128,MPI DT,0.0004012
23,128,MPI DT,0.00030900000000000003
24,128,MPI DT,0.0003196
25,128,MPI DT,0.00034999999999999994
26,128,MPI DT,0.00024959999999999994
27,128,MPI DT,0.0003854
28,128,MPI DT,0.0005053999999999999
29,128,MPI DT,0.00042520000000000004
30,128,MPI DT,0.0004646
31,128,MPI DT,0.00045060000000000006
32,128,MPI DT,0.0002154
33,128,MPI DT,0.0005176
34,128,MPI DT,0.0005551999999999999
35,128,MPI DT,0.000582
36,128,MPI DT,0.0006346000000000001
37,128,MPI DT,0.0007381999999999999
38,128,MPI DT,0.0008606000000000001
39,128,MPI DT,0.00041180000000000003
40,128,MPI DT,0.00043819999999999997
41,128,MPI DT,0.0007174
42,128,MPI DT,0.0009548000000000001
43,128,MPI DT,0.00043400000000000003
44,128,MPI DT,0.0005248
45,128,MPI DT,0.0008792000000000001
46,128,MPI DT,0.0005482000000000001
47,128,MPI DT,0.0009608
48,128,MPI DT,0.0007412
49,128,MPI DT,0.0012184000000000001
50,128,MPI DT,0.000673
51,128,MPI DT,0.0015334
52,128,MPI DT,0.0005872
53,128,MPI DT,0.0006952
54,128,MPI DT,0.0014034
55,128,MPI DT,0.0008468
56,128,MPI DT,0.0008912
57,128,MPI DT,0.0015838000000000002
58,128,MPI DT,0.0008071999999999999
59,128,MPI DT,0.0009132
60,128,MPI DT,0.0009032
61,128,MPI DT,0.0007576
62,128,MPI DT,0.0009809999999999999
63,128,MPI DT,0.0008807999999999999
64,128,MPI DT,0.0007204
65,128,MPI DT,0.0007172
66,128,MPI DT,0.0007367999999999999
67,128,MPI DT,0.0009764
68,128,MPI DT,0.001064
69,128,MPI DT,0.0009858
70,128,MPI DT,0.0010644
71,128,MPI DT,0.0009014000000000001
72,128,MPI DT,0.0025032
73,128,MPI DT,0.0010412
74,128,MPI DT,0.005998399999999999
75,128,MPI DT,0.0010102
76,128,MPI DT,0.0010458
77,128,MPI DT,0.0010416
78,128,MPI DT,0.0027318000000000004
79,128,MPI DT,0.0036958000000000004
80,128,MPI DT,0.0011754
81,128,MPI DT,0.0009772
82,128,MPI DT,0.0030326
83,128,MPI DT,0.001215
84,128,MPI DT,0.005450399999999999
85,128,MPI DT,0.001253
86,128,MPI DT,0.0011326
87,128,MPI DT,0.0033866
88,128,MPI DT,0.008735800000000002
89,128,MPI DT,0.0088626
90,128,MPI DT,0.013933399999999999
91,128,MPI DT,0.017439
92,128,MPI DT,0.0081656
93,128,MPI DT,0.023663200000000002
94,128,MPI DT,0.0244516
95,128,MPI DT,0.023982199999999995
96,128,MPI DT,0.0239696
1,256,SEQ,0.0003126
1,256,MPI BDV,0.0008006
4,256,MPI BDV,0.0006226
16,256,MPI BDV,0.0010628
64,256,MPI BDV,0.0014506
1,256,MPI DT,0.0004071999999999999
2,256,MPI DT,0.00038940000000000003
3,256,MPI DT,0.00045339999999999996
4,256,MPI DT,0.0005036
5,256,MPI DT,0.000464
6,256,MPI DT,0.00045520000000000006
7,256,MPI DT,0.00046540000000000004
8,256,MPI DT,0.0004556
9,256,MPI DT,0.000564
10,256,MPI DT,0.0005638
11,256,MPI DT,0.0005895999999999999
12,256,MPI DT,0.0005965999999999999
13,256,MPI DT,0.0006376000000000001
14,256,MPI DT,0.0006998
15,256,MPI DT,0.0006588
16,256,MPI DT,0.0005332
17,256,MPI DT,0.0007452
18,256,MPI DT,0.0007784000000000001
19,256,MPI DT,0.0007376
20,256,MPI DT,0.0008431999999999999
21,256,MPI DT,0.0008050000000000002
22,256,MPI DT,0.0008553999999999999
23,256,MPI DT,0.0009094
24,256,MPI DT,0.0009438000000000001
25,256,MPI DT,0.0007976000000000001
26,256,MPI DT,0.0008206
27,256,MPI DT,0.0011402000000000003
28,256,MPI DT,0.0011564
29,256,MPI DT,0.0009594
30,256,MPI DT,0.001026
31,256,MPI DT,0.001043
32,256,MPI DT,0.0006304
33,256,MPI DT,0.0010923999999999999
34,256,MPI DT,0.0011952
35,256,MPI DT,0.0012343999999999999
36,256,MPI DT,0.0012522000000000002
37,256,MPI DT,0.0013352
38,256,MPI DT,0.0014554000000000001
39,256,MPI DT,0.0009484000000000001
40,256,MPI DT,0.0014848
41,256,MPI DT,0.0015312000000000001
42,256,MPI DT,0.0016592
43,256,MPI DT,0.0010508000000000002
44,256,MPI DT,0.0018071999999999997
45,256,MPI DT,0.0017516
46,256,MPI DT,0.001179
47,256,MPI DT,0.0019417999999999998
48,256,MPI DT,0.0012188000000000001
49,256,MPI DT,0.002138
50,256,MPI DT,0.0013986
51,256,MPI DT,0.0021436
52,256,MPI DT,0.001366
53,256,MPI DT,0.0014517999999999998
54,256,MPI DT,0.0014562
55,256,MPI DT,0.00149
56,256,MPI DT,0.0016840000000000002
57,256,MPI DT,0.0030797999999999997
58,256,MPI DT,0.001713
59,256,MPI DT,0.0016996000000000001
60,256,MPI DT,0.0017361999999999998
61,256,MPI DT,0.0016975999999999998
62,256,MPI DT,0.0019836000000000003
63,256,MPI DT,0.0020962000000000003
64,256,MPI DT,0.001068
65,256,MPI DT,0.0021424
66,256,MPI DT,0.0022778
67,256,MPI DT,0.0023006000000000003
68,256,MPI DT,0.00214
69,256,MPI DT,0.0026008
70,256,MPI DT,0.0024695999999999997
71,256,MPI DT,0.0026822
72,256,MPI DT,0.0026054
73,256,MPI DT,0.0025299999999999997
74,256,MPI DT,0.0025712
75,256,MPI DT,0.0027324
76,256,MPI DT,0.0014550000000000001
77,256,MPI DT,0.0029554
78,256,MPI DT,0.0032928
79,256,MPI DT,0.0029035999999999997
80,256,MPI DT,0.0031530000000000004
81,256,MPI DT,0.0032641999999999997
82,256,MPI DT,0.0034571999999999997
83,256,MPI DT,0.0035372
84,256,MPI DT,0.0034066
85,256,MPI DT,0.008731599999999999
86,256,MPI DT,0.0088984
87,256,MPI DT,0.0082842
88,256,MPI DT,0.0059026
89,256,MPI DT,0.010445
90,256,MPI DT,0.009188600000000002
91,256,MPI DT,0.0085162
92,256,MPI DT,0.0298054
93,256,MPI DT,0.023658600000000002
94,256,MPI DT,0.013049
95,256,MPI DT,0.033795
96,256,MPI DT,0.0415472
1,512,SEQ,0.001396
1,512,MPI BDV,0.0039656
4,512,MPI BDV,0.0017503999999999998
16,512,MPI BDV,0.0024934000000000002
64,512,MPI BDV,0.0029297999999999998
1,512,MPI DT,0.0028816
2,512,MPI DT,0.0020106
3,512,MPI DT,0.0019464000000000003
4,512,MPI DT,0.0019526
5,512,MPI DT,0.0019986
6,512,MPI DT,0.002022
7,512,MPI DT,0.0020387999999999995
8,512,MPI DT,0.0020905999999999998
9,512,MPI DT,0.0021564
10,512,MPI DT,0.0023728
11,512,MPI DT,0.0023408
12,512,MPI DT,0.0025338
13,512,MPI DT,0.0026673999999999995
14,512,MPI DT,0.002931
15,512,MPI DT,0.0030182
16,512,MPI DT,0.0030512000000000004
17,512,MPI DT,0.002706
18,512,MPI DT,0.0028507999999999997
19,512,MPI DT,0.0029458
20,512,MPI DT,0.0029782
21,512,MPI DT,0.0029878
22,512,MPI DT,0.0030199999999999997
23,512,MPI DT,0.0034262
24,512,MPI DT,0.0033585999999999998
25,512,MPI DT,0.003496
26,512,MPI DT,0.0037254000000000002
27,512,MPI DT,0.0040942
28,512,MPI DT,0.0037766
29,512,MPI DT,0.0038462
30,512,MPI DT,0.0043142
31,512,MPI DT,0.003959
32,512,MPI DT,0.0043952
33,512,MPI DT,0.0044102
34,512,MPI DT,0.0048703999999999996
35,512,MPI DT,0.0045
36,512,MPI DT,0.0045362
37,512,MPI DT,0.004628600000000001
38,512,MPI DT,0.0051918
39,512,MPI DT,0.0042894000000000005
40,512,MPI DT,0.0044984
41,512,MPI DT,0.004498199999999999
42,512,MPI DT,0.0054304
43,512,MPI DT,0.0047712
44,512,MPI DT,0.0052542
45,512,MPI DT,0.0053344
46,512,MPI DT,0.0048906
47,512,MPI DT,0.0060891999999999995
48,512,MPI DT,0.005418
49,512,MPI DT,0.006321599999999999
50,512,MPI DT,0.0056895999999999995
51,512,MPI DT,0.005679399999999999
52,512,MPI DT,0.0061092
53,512,MPI DT,0.005457
54,512,MPI DT,0.0066029999999999995
55,512,MPI DT,0.0067117999999999995
56,512,MPI DT,0.0056890000000000005
57,512,MPI DT,0.006917799999999999
58,512,MPI DT,0.0081752
59,512,MPI DT,0.0068909999999999996
60,512,MPI DT,0.0067393999999999996
61,512,MPI DT,0.006416200000000001
62,512,MPI DT,0.006922
63,512,MPI DT,0.0071758
64,512,MPI DT,0.0072296
65,512,MPI DT,0.005934199999999999
66,512,MPI DT,0.0061481999999999995
67,512,MPI DT,0.0064402
68,512,MPI DT,0.006790600000000001
69,512,MPI DT,0.0082792
70,512,MPI DT,0.009001
71,512,MPI DT,0.009341
72,512,MPI DT,0.0087064
73,512,MPI DT,0.0075634000000000005
74,512,MPI DT,0.0071478
75,512,MPI DT,0.009214400000000001
76,512,MPI DT,0.007120800000000001
77,512,MPI DT,0.0073986
78,512,MPI DT,0.019151400000000002
79,512,MPI DT,0.008424200000000001
80,512,MPI DT,0.0098702
81,512,MPI DT,0.0081236
82,512,MPI DT,0.009804400000000001
83,512,MPI DT,0.0096074
84,512,MPI DT,0.0121034
85,512,MPI DT,0.0088632
86,512,MPI DT,0.015609399999999999
87,512,MPI DT,0.009679199999999999
88,512,MPI DT,0.014913199999999998
89,512,MPI DT,0.0096236
90,512,MPI DT,0.0114902
91,512,MPI DT,0.023558799999999998
92,512,MPI DT,0.0107382
93,512,MPI DT,0.014844199999999998
94,512,MPI DT,0.0154252
95,512,MPI DT,0.015016999999999999
96,512,MPI DT,0.035078399999999996
1,1024,SEQ,0.0083652
1,1024,MPI BDV,0.022088399999999998
4,1024,MPI BDV,0.007111799999999999
16,1024,MPI BDV,0.006905799999999999
64,1024,MPI BDV,0.008946800000000001
1,1024,MPI DT,0.0180076
2,1024,MPI DT,0.010602
3,1024,MPI DT,0.009622799999999999
4,1024,MPI DT,0.008015999999999999
5,1024,MPI DT,0.0082302
6,1024,MPI DT,0.007696400000000001
7,1024,MPI DT,0.007871800000000002
8,1024,MPI DT,0.007634199999999999
9,1024,MPI DT,0.0076268
10,1024,MPI DT,0.0076284000000000005
11,1024,MPI DT,0.0072854
12,1024,MPI DT,0.0081984
13,1024,MPI DT,0.0082674
14,1024,MPI DT,0.008978599999999998
15,1024,MPI DT,0.009102200000000001
16,1024,MPI DT,0.009196199999999998
17,1024,MPI DT,0.009209400000000001
18,1024,MPI DT,0.0089968
19,1024,MPI DT,0.0090682
20,1024,MPI DT,0.0090934
21,1024,MPI DT,0.0090078
22,1024,MPI DT,0.0094004
23,1024,MPI DT,0.009506
24,1024,MPI DT,0.0094354
25,1024,MPI DT,0.0097152
26,1024,MPI DT,0.0099026
27,1024,MPI DT,0.010224200000000001
28,1024,MPI DT,0.009954000000000001
29,1024,MPI DT,0.010314
30,1024,MPI DT,0.010852400000000002
31,1024,MPI DT,0.010007199999999999
32,1024,MPI DT,0.011544599999999999
33,1024,MPI DT,0.0116296
34,1024,MPI DT,0.0111714
35,1024,MPI DT,0.011859600000000001
36,1024,MPI DT,0.012176999999999999
37,1024,MPI DT,0.0116522
38,1024,MPI DT,0.012037599999999999
39,1024,MPI DT,0.01272
40,1024,MPI DT,0.011957200000000001
41,1024,MPI DT,0.012565799999999998
42,1024,MPI DT,0.0122598
43,1024,MPI DT,0.0126074
44,1024,MPI DT,0.012776200000000001
45,1024,MPI DT,0.0126034
46,1024,MPI DT,0.012617799999999998
47,1024,MPI DT,0.0129218
48,1024,MPI DT,0.013651
49,1024,MPI DT,0.013605800000000001
50,1024,MPI DT,0.0135052
51,1024,MPI DT,0.013999600000000001
52,1024,MPI DT,0.0142338
53,1024,MPI DT,0.014132
54,1024,MPI DT,0.014477799999999999
55,1024,MPI DT,0.013836999999999999
56,1024,MPI DT,0.014853
57,1024,MPI DT,0.0154374
58,1024,MPI DT,0.014597000000000002
59,1024,MPI DT,0.015262000000000001
60,1024,MPI DT,0.015112999999999998
61,1024,MPI DT,0.0152202
62,1024,MPI DT,0.0154642
63,1024,MPI DT,0.0157904
64,1024,MPI DT,0.0158004
65,1024,MPI DT,0.0312888
66,1024,MPI DT,0.030615400000000004
67,1024,MPI DT,0.031618600000000004
68,1024,MPI DT,0.030015800000000002
69,1024,MPI DT,0.0303782
70,1024,MPI DT,0.0295962
71,1024,MPI DT,0.032479600000000004
72,1024,MPI DT,0.030699399999999998
73,1024,MPI DT,0.030791400000000003
74,1024,MPI DT,0.0284138
75,1024,MPI DT,0.03127919999999999
76,1024,MPI DT,0.027949199999999997
77,1024,MPI DT,0.029494
78,1024,MPI DT,0.030685
79,1024,MPI DT,0.0301248
80,1024,MPI DT,0.0334566
