Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
54,16,MPI DT,0.00022899999999999998,0.0007245999999999999
55,16,MPI DT,0.0005042,0.0006642
56,16,MPI DT,0.0005656000000000001,0.0006466
57,16,MPI DT,0.0006576,0.0006384
58,16,MPI DT,0.0008876,0.0030482
59,16,MPI DT,0.0008660000000000001,0.0006852
60,16,MPI DT,0.0004466,0.000633
61,16,MPI DT,0.0006096,0.0007013999999999999
62,16,MPI DT,0.0008498000000000001,0.0008719999999999998
63,16,MPI DT,0.0009388,0.000677
64,16,MPI DT,0.0008406,0.000678
65,16,MPI DT,0.00057,0.0006064
66,16,MPI DT,0.0032014,0.003207
67,16,MPI DT,0.0006852000000000001,0.0007412000000000001
68,16,MPI DT,0.0009574000000000001,0.0006588
69,16,MPI DT,0.0009804,0.0006354
70,16,MPI DT,0.0008406,0.0007373999999999999
71,16,MPI DT,0.0007378,0.0007053999999999999
72,16,MPI DT,0.000767,0.0007204000000000001
73,16,MPI DT,0.0007268,0.0007064
74,16,MPI DT,0.0008686,0.0007752
75,16,MPI DT,0.0007278,0.000692
76,16,MPI DT,0.0007212,0.0006606000000000001
77,16,MPI DT,0.0010168,0.0008588000000000001
78,16,MPI DT,0.0005878000000000001,0.0006548
79,16,MPI DT,0.0007158,0.0008472
80,16,MPI DT,0.0006701999999999999,0.0008318
81,16,MPI DT,0.0027592000000000007,0.0032232
82,16,MPI DT,0.0010594000000000003,0.0007528
83,16,MPI DT,0.0008448,0.0008361999999999999
84,16,MPI DT,0.000809,0.0009462
85,16,MPI DT,0.0004282,0.0014230000000000002
86,16,MPI DT,0.0030938000000000003,0.0009126000000000001
87,16,MPI DT,0.0034696000000000006,0.0033402
88,16,MPI DT,0.0059938000000000005,0.0033179999999999993
89,16,MPI DT,0.008088399999999999,0.004746
90,16,MPI DT,0.0031644,0.0009616
91,16,MPI DT,0.008460999999999998,0.0041184
92,16,MPI DT,0.0004804,0.0008844000000000001
93,16,MPI DT,0.0061626,0.005769
94,16,MPI DT,0.010987199999999999,0.007823
95,16,MPI DT,0.020960799999999998,0.010593
96,16,MPI DT,0.0185022,0.0081344
1,32,SEQ,4.599999999999999e-06,3.2e-06
1,32,MPI B,2.1799999999999998e-05,3.4e-06
2,32,MPI B,0.0002542,3.86e-05
3,32,MPI B,0.0004982000000000001,0.0002678
4,32,MPI B,0.0003574,0.00032199999999999997
5,32,MPI B,0.00032260000000000004,0.0003972
6,32,MPI B,0.0005297999999999999,0.00041719999999999995
7,32,MPI B,0.00037899999999999994,0.00042659999999999996
8,32,MPI B,0.0002088,0.00044140000000000005
9,32,MPI B,0.0003086,0.00044280000000000003
10,32,MPI B,0.0003172,0.000479
11,32,MPI B,0.00037099999999999996,0.0004886
12,32,MPI B,0.0002852,0.0004999999999999999
13,32,MPI B,0.00035380000000000003,0.0005013999999999999
14,32,MPI B,0.00040080000000000004,0.0005132
15,32,MPI B,0.0005446000000000001,0.0005078
16,32,MPI B,0.0004418,0.0005451999999999999
17,32,MPI B,0.00047660000000000004,0.0004816
18,32,MPI B,0.0003894,0.0005286000000000001
19,32,MPI B,0.00018140000000000002,0.0005529999999999999
20,32,MPI B,0.0003912000000000001,0.0005508
21,32,MPI B,0.00038040000000000003,0.0005461999999999999
22,32,MPI B,0.0004344,0.0005748
23,32,MPI B,0.0005058,0.000527
24,32,MPI B,0.0005612000000000001,0.0005182000000000001
25,32,MPI B,0.0004816000000000001,0.0005390000000000001
26,32,MPI B,0.0002838,0.0005414
27,32,MPI B,0.00037400000000000004,0.0005626
28,32,MPI B,0.0008260000000000001,0.000528
29,32,MPI B,0.0001614,0.0005156
30,32,MPI B,0.0007151999999999998,0.000529
31,32,MPI B,0.0005818,0.0005176
32,32,MPI B,0.0004772,0.0012018
33,32,MPI B,0.0002932,0.0004362
34,32,MPI B,0.0004893999999999999,0.0005090000000000001
35,32,MPI B,0.000926,0.0007488000000000001
36,32,MPI B,0.0007306,0.0005012
37,32,MPI B,0.0005237999999999999,0.0008355999999999999
38,32,MPI B,0.0005304000000000001,0.0005208
39,32,MPI B,0.000352,0.0005372
40,32,MPI B,0.0004278,0.0005315999999999999
41,32,MPI B,0.0007508,0.0005145999999999999
42,32,MPI B,0.0002432,0.0028783999999999997
43,32,MPI B,0.00034419999999999996,0.0008964
44,32,MPI B,0.0008152000000000001,0.0005312000000000001
45,32,MPI B,0.0005378,0.0006456
46,32,MPI B,0.0006164000000000001,0.0005389999999999999
47,32,MPI B,0.00043419999999999993,0.0005403999999999999
48,32,MPI B,0.0007086,0.0006532
49,32,MPI B,0.0004528,0.0005407999999999999
50,32,MPI B,0.0005736000000000001,0.000537
51,32,MPI B,0.0003108,0.0005499999999999999
52,32,MPI B,0.0008956000000000001,0.000542
53,32,MPI B,0.0003074,0.0005678
54,32,MPI B,0.00036980000000000004,0.0006076
55,32,MPI B,0.00053,0.0005226
56,32,MPI B,0.0007526,0.0005392000000000001
